tier	gwas studies	PGS id	name	other names	GWAS tags	source	note
A	289	BioMe	BioMe® BioBank Program (Institute for Personalized Medicine at the Icahn School of Medicine at Mount Sinai)	BioMe Biobank (BMBB), MT. SINAI BioMe Biobank Platform (IMP), Charles R Bronfman Institute for Personalized Medicine - IPM / BioBank Genome Wide Association Study of Cardiovascular, Renal and Metabolic Phenotypes (IPM), Charles R Bronfman Institute for Personalized Medicine - IPM / BioBank Genome Wide Association Study of Cardiovascular, Renal and Metabolic Phenotypes I (IPM I), Charles R Bronfman Institute for Personalized Medicine - IPM / BioBank Genome Wide Association Study of Cardiovascular, Renal and Metabolic Phenotypes II (IPM II), IPM_EA_Affy, IPM_EA_Illu, Mount Sinai BioMe BioBank (Mount Sinai)	BIOME; BioME; BioMe	PGS + GWAS	
A	283	CARDIA	Coronary Artery Risk Development in Young Adults		CARDIA	PGS + GWAS	
A	278	HELIOS	Health for Life in Singapore		HELIOS	PGS + GWAS	
A	271	EGCUT	Estonian Genome Center of the University of Tartu		EGCUT	PGS + GWAS	
A	261	CFS	Cleveland Family Study		CFS	PGS + GWAS	
A	260	deCODE	deCODE Genetics		DECODE; DeCODE; deCODE; deCode	PGS + GWAS	
A	255	PainOMICS	PainOmicc Retrospective Study		Painomics	PGS + GWAS	
A	255		HELIC-Pomak		HELIC-Pomak	GWAS only (candidate COHO:0000088 Greece Hellenic Isolated Cohorts)	
A	255		HELIC-MANOLIS		HELIC-MANOLIS	GWAS only (candidate COHO:0000088 Greece Hellenic Isolated Cohorts; COHO:0000166 The MANOLIS cohort)	
A	248	GERA	Genetic Epidemiology Research in Adult Health and Aging		GERA	PGS + GWAS	
A	245	Multiple	Multiple cohorts (see publication)		Multiple; multiple	PGS + GWAS	
A	234	CEDAR	Correlated Expression & Disease Association Research		CEDAR	PGS + GWAS	
A	232	TDCOB	The Danish Childhood Obesity Biobank	The Holbaek Study	TDCOB	PGS + GWAS	
A	223	GS:SFHS	Generation Scotland: Scottish Family Health Study	Generation Scotland	GS:SFHS	PGS + GWAS	
A	220	QIMR	Queensland Institute of Medical Research		QIMR	PGS + GWAS	
A	204	GENOA	Genetic Epidemiology Network of Arteriopathy		GENOA	PGS + GWAS	
A	186	NFBC	Northern Finnish Birth Cohort Study		NFBC	PGS + GWAS	
A	182	TWB	Taiwan Biobank		TWB	PGS + GWAS	
A	180	GeneRISK	GeneRISK		GeneRISK	PGS + GWAS	
A	167	HANDLS	Healthy Aging in Neighborhoods of Diversity across the Life Span Study		HANDLS	PGS + GWAS	
A	162	MSCCR	Mount Sinai Crohn's and Colitis Registry		MSCCR	PGS + GWAS	
A	148	NESDA	Netherlands Study of Depression and Anxiety		NESDA	PGS + GWAS	
A	147	HABC	Health, aging and body composition study		HABC	PGS + GWAS	
A	146	MGI	Michigan Genomics Initiative		MGI	PGS + GWAS	
A	141		IMPACT_KPNC		IMPACT_KPNC	GWAS only (candidate COHO:0000097 Identification of Men with a genetic predisposition to ProstAte Cancer)	
A	139	CHARGE	CHARGE		CHARGE	PGS + GWAS	
A	138	HBCS	Helsinki Birth Cohort Study		HBCS	PGS + GWAS	
A	133	Generation_R	Generation R Study Group	Generation R	Generation_R	PGS + GWAS	
A	132	500FG	500FG		500FG	PGS + GWAS	
A	132	MyCode	MyCode Community Health Initiative (Geisinger Health System): includes DiscovEHR participants	Geisinger Health System USA DiscovEHR participants (DiscovEHR), Geisinger Health System (GeHS)	MyCode	PGS + GWAS	
A	131	23andMe	23andMe		23ANDME; 23andMe	PGS + GWAS	
A	131	LIFE-Adult	LIFE-Adult		LIFE-Adult	PGS + GWAS	
A	131	RBC-Omics	Red Blood Cell Omics Study		RBC-Omics	PGS + GWAS	
A	130	COROGENE	COROGENE: International Studies of Infarct Survival		COROGENE	PGS + GWAS	
A	123	GENMETS	GenMets sub cohort for the Health 2000 Study		GenMets	PGS + GWAS	
A	117	QMDiab	Qatar Metabolomics Study on Diabetes		QMDiab	PGS + GWAS	
A	115	GeneSTAR	Genetic STudy of Aspirin Responsiveness		GENESTAR; GeneSTAR; GeneStar	PGS + GWAS	
A	114	NHS	Nurses Health Study		NHS	PGS + GWAS	
A	112	PMB	Penn Medicine Biobank		PMB	PGS + GWAS	
A	106	EIRA	Epidemiological Investigation of Rheumatoid Arthritis		EIRA	PGS + GWAS	
A	106	LURIC	Ludwigshafen Risk and Cardiovascular Health		LURIC	PGS + GWAS	
B	99	AADM	Africa America Diabetes Mellitus		AADM	PGS + GWAS	
B	96	DBDS	Danish Blood Donor Study		DBDS	PGS + GWAS	
B	95	HUFS	Howard University Family Study		HUFS	PGS + GWAS	
B	91	STABILITY	The Stabilization of Atherosclerotic Plaque by Initiation of Darapladib Therapy Trial		STABILITY	PGS + GWAS	
B	91	STANLEY	STANLEY		STANLEY	PGS + GWAS	
B	91	Swedish BioFinder	Biomarkers For Identifying Neurodegenerative Disorders Early and Reliably		Swedish BioFinder	PGS + GWAS	
B	91	VIS	Vis Study		VIS	PGS + GWAS	
B	81	NACC	National Alzheimer’s Coordinating Center		NACC	PGS + GWAS	
B	81	SP2	Singapore Prospective Study Program		SP2	PGS + GWAS	
B	79	CCPM	Colorado Center for Personalized Medicine Biobank		CCPM	PGS + GWAS	
B	78	ACT	Adult Changes in Thought		ACT	PGS + GWAS	
B	76	HYPERGEN	Hypertension Genetic Epidemiology Network		HYPERGEN; HyperGEN; HyperGen	PGS + GWAS	
B	75		Taiwan		Taiwan	GWAS only (candidate COHO:0000161 Taiwan Type 2 Diabetes Study; COHO:0000310 NCI Taiwan cohort)	
B	73	PLCO	Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial		PLCO	PGS + GWAS	
B	72	KCPS	Korean Cancer Prevention Study		KCPS	PGS + GWAS	
B	71	LIFE-HEART	Leipzig Research Center for Civilization Diseases - Heart Study		LIFE-HEART; LIFE-Heart	PGS + GWAS	
B	70	BHP	Bandim Health Project		BHP	PGS + GWAS	
B	69	UPENN	University of Pennsylvania		UPENN	PGS + GWAS	
B	65	CHOP	Childrens Hospital of Philadelphia		CHOP	PGS + GWAS	
B	65	DTR	Danish Twin Registry		DTR	PGS + GWAS	
B	64	eMERGE	Medical Records and Genomics study		EMERGE; eMERGE	PGS + GWAS	
B	64	SORBS	Sorbs population		SORBS	PGS + GWAS	
B	63	DRS_EXTRA	Dose-Responses to Exercise Training	DRS EXTRA	DRS_EXTRA	PGS + GWAS	
B	63	GOLDN	Genetics of Lipid Lowering Drugs and Diet Network study		GOLDN	PGS + GWAS	
B	61	SWAN	Study of Women’s Health Across the Nation		SWAN	PGS + GWAS	
B	60	FinnDiane	Finnish Diabetic Nephropathy		FinnDiane	PGS + GWAS	
B	60	IMAGEN	IMAGEN		IMAGEN	PGS + GWAS	
B	60	MARS	Munich Antidepressant Response Signature		MARS	PGS + GWAS	
B	60	OATS	Older Australian Twins Study		OATS	PGS + GWAS	
B	60	PHB	Partners HealthCare Biobank		PHB	PGS + GWAS	
B	60		LymeProspect		LymeProspect	GWAS only	
B	59	300TZFG	300 Tanzania functional genomics (FG) study		300TZFG	PGS + GWAS	
B	59	UCLA	UCLA ATLAS Community Health Initiative		UCLA	PGS + GWAS	
B	58	IRASFS	IRASFS		IRAS FS; IRASFS	PGS + GWAS	
B	57	WHI-GARNET	Womens Health Initiative Genome-wide Association Research Network into Effects of Treatment		WHI-GARNET	PGS + GWAS	
B	56	ALS	ALS Study		ALS	PGS + GWAS	
B	56	BDC	Barbara Davis Center		BDC	PGS + GWAS	
B	56	BIG	Brain Imaging Genetics		BIG	PGS + GWAS	
B	56	BrainSCALE	BrainSCALE		BrainSCALE	PGS + GWAS	
B	56	NCNG	Norwegian Cognitive NeuroGenetics Study		NCNG	PGS + GWAS	
B	56	NeuroIMAGE	NeuroIMAGE		NeuroIMAGE	PGS + GWAS	
B	56	NUIG-TCD	BIG replication and Trinity College Dublin/ National University of Ireland, Galway		NUIG-TCD	PGS + GWAS	
B	55	Inter99	Inter99 Study		INTER99; Inter99	PGS + GWAS	
B	55	iPSYCH	iPSYCH		IPSYCH; iPSYCH	PGS + GWAS	
B	55	LLFS	Long Life Family Study		LLFS; Long Life Family Study	PGS + GWAS	
B	54	BHS_b	Bogalusa Heart Study		BHS_b	PGS + GWAS	
B	54	COPDGene	Chronic Obstructive Pulmonary Disease Gene Study		COPDGene	PGS + GWAS	
B	54	GAPP	The genetic and phenotypic determinants of blood pressure and other cardiovascular risk factors (Liechtenstein)		GAPP	PGS + GWAS	
B	54	WGHS	Womens Genome Health Study		WGHS	PGS + GWAS	
B	50	CCHC	Cameron County Hispanic Cohort		CCHC	PGS + GWAS	
B	49	ADGC	Alzheimer Disease Genetic Consortium		ADGC	PGS + GWAS	
B	49	CANDELA	Consortium for the Analysis of the Diversity and Evolution of Latin America		CANDELA	PGS + GWAS	
B	49	MCPS	Mexico City Prospective Study		MCPS	PGS + GWAS	
B	48	Airwave	Airwave Health Monitoring Study		AIRWAVE; Airwave	PGS + GWAS	
B	48	CoLaus	Cohorte Lausannoise		COLAUS; CoLaus	PGS + GWAS	
B	47	MCCS	Melbourne Collaborative Cohort Study		MCCS	PGS + GWAS	
B	45	TRAILS	Tracking Adolescents Individual Lives Survey		TRAILS	PGS + GWAS	
B	44	ADDITION-PRO	ADDITION-PRO		ADDITION-PRO	PGS + GWAS	
B	44	FINCAVAS	Finnish Cardiovascular Study		FINCAVAS	PGS + GWAS	
B	44	HPFS	Health Professional Follow-up Study		HPFS	PGS + GWAS	
B	43	ARGO	Arthroplasty and the Genetics of Osteoarthritis		ARGO	PGS + GWAS	
B	43	KARE	Korean Association Resource Project		KARE	PGS + GWAS	
B	42	QBB	Qatar Biobank	Qatar Genome Program (QGP)	QBB	PGS + GWAS	
B	42	Ansan	Ansan Study		Ansan	PGS + GWAS	
B	42	Ansung	Ansung Study		Ansung	PGS + GWAS	
B	42	Nagahama Study	Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience	Nagahama_Study	Nagahama Study; Nagahama_Study	PGS + GWAS	
B	42	Nagahama_Study	Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience	Nagahama Study	Nagahama Study; Nagahama_Study	PGS + GWAS	
B	42	TUM	Technical University of Munich		TUM	PGS + GWAS	
B	42		BMBB		BMBB	GWAS only	
B	41	CKDGen	Chronic Kidney Disease Genetics (CKDGen) Consortium		CKDGen	PGS + GWAS	
B	40	ToMMo	Tohoku Medical Megabank		ToMMo; Tohoku Medical Megabank	PGS + GWAS	
