ID	TYPE	label	member cohort	evidence	source
COHO:0000044	owl:NamedIndividual	Consortium of Minority Population Genome-Wide Association Studies of Stroke	COHO:0000441	Dynamics of Health, Aging and Body Composition Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4740911/unicode
COHO:0000071	owl:NamedIndividual	FINRISK	COHO:0000290	will produce whole genome sequencing with 1x coverage on a subset of the Finrisk 2012 sample collection	https://ega-archive.org/studies/EGAS00001000143
COHO:0000085	owl:NamedIndividual	German Multiple Myeloma Study Group	COHO:0000262	ENCORAFENIB COMBINED WITH BINIMETINIB FOR BRAFV600E-MUTATED RELAPSED/REFRACTORY MULTIPLE MYELOMA: THE PHASE II GMMG-BIRMA TRIAL (Hipo_K08K)	https://ega-archive.org/studies/EGAS00001005973
COHO:0000088	owl:NamedIndividual	Greece Hellenic Isolated Cohorts	COHO:0000166	The two cohorts included in this analysis, MANOLIS and Pomak, are part of the Hellenic Isolated Cohorts	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8640022/unicode
COHO:0000088	owl:NamedIndividual	Greece Hellenic Isolated Cohorts	COHO:0000430	The two cohorts included in this analysis, MANOLIS and Pomak, are part of the Hellenic Isolated Cohorts (HELIC; https://www.helmholtz-muenchen.de/itg/projects-and-cohorts/helic/index.html).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640022/fullTextXML
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000016	Avon Longitudinal Study of Parents and Children	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000064	Estonian Genome Center, University of Tartu	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000125	Netherlands Twin Register	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000160	Swedish Twin Registry	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000175	Twins UK	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000395	Nord-Trøndelag Health Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000428	deCODE Genetics Inc.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000440	NetherlandsStudy of Depression and Anxiety	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
COHO:0000102	owl:NamedIndividual	International Headache Genetics Consortium	COHO:0000449	23andMe Inc.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5331903/unicode
